,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
6497,2706.2744140625,30.8154296875,59.44970703125,3.3438476562500004,1.6107958984375e-05,166504.73974609375,11501.707609708033,8.7227312769442
6498,801.6845703125,83.9404296875,59.44970703125,3.3438476562500004,1.6107958984375e-05,166504.73974609375,32908.155034216106,1.1118188080654674
6499,801.6845703125,30.8154296875,52.75732421875,3.3438476562500004,1.6107958984375e-05,166504.73974609375,11405.651155169917,7.816148472102031
6500,801.6845703125,30.8154296875,59.44970703125,4.1190429687500005,1.6107958984375e-05,166504.73974609375,12816.722045745075,8.722731276944202
6501,801.6845703125,30.8154296875,59.44970703125,3.3438476562500004,4.2178759765625e-05,166504.73974609375,5952.912727377816,8.722731276944202
6502,801.6845703125,30.8154296875,59.44970703125,3.3438476562500004,1.6107958984375e-05,145996.94775390625,11189.282157262285,8.722731276944202
6503,801.6845703125,83.9404296875,52.75732421875,4.1190429687500005,4.2178759765625e-05,145996.94775390625,20646.625845070623,0.9962637391896799
6504,2706.2744140625,30.8154296875,52.75732421875,4.1190429687500005,4.2178759765625e-05,145996.94775390625,7109.310656235579,7.816148472102031
6505,2706.2744140625,83.9404296875,59.44970703125,4.1190429687500005,4.2178759765625e-05,145996.94775390625,20737.653633854483,1.1118188080654674
6506,2706.2744140625,83.9404296875,52.75732421875,3.3438476562500004,4.2178759765625e-05,145996.94775390625,18429.545390516047,0.9962637391896801
6507,2706.2744140625,83.9404296875,52.75732421875,4.1190429687500005,1.6107958984375e-05,145996.94775390625,39050.444918955225,0.9962637391896801
6508,2706.2744140625,83.9404296875,52.75732421875,4.1190429687500005,4.2178759765625e-05,166504.73974609375,21148.53583166763,0.9962637391896801
6509,2706.2744140625,83.9404296875,52.75732421875,4.1190429687500005,4.2178759765625e-05,145996.94775390625,21106.64944924593,0.9962637391896801
6510,3276.6845703125,115.8154296875,14.94970703125,8.24384765625,4.1057958984375e-05,666504.2397460938,36558.826276559535,0.12490648212179799
6511,231.2744140625,115.8154296875,14.94970703125,8.24384765625,4.1057958984375e-05,666504.2397460938,34720.627385347245,0.124906482121798
6512,3276.6845703125,168.9404296875,14.94970703125,8.24384765625,4.1057958984375e-05,666504.2397460938,3948.1860550095644,0.0045725786483349195
6513,3276.6845703125,115.8154296875,8.25732421875,8.24384765625,4.1057958984375e-05,666504.2397460938,40174.98928121334,0.06912710578373679
6514,3276.6845703125,115.8154296875,14.94970703125,9.01904296875,4.1057958984375e-05,666504.2397460938,38745.591895693484,0.12490648212179799
6515,3276.6845703125,115.8154296875,14.94970703125,8.24384765625,1.7228759765624998e-05,666504.2397460938,63641.38624681637,0.12490648212179799
6516,3276.6845703125,115.8154296875,14.94970703125,8.24384765625,4.1057958984375e-05,645996.4477539062,36542.88349671856,0.12490648212179799
6517,3276.6845703125,168.9404296875,8.25732421875,9.01904296875,1.7228759765624998e-05,645996.4477539062,8407.00200442815,0.002530606278861342
6518,231.2744140625,115.8154296875,8.25732421875,9.01904296875,1.7228759765624998e-05,645996.4477539062,69626.39484617274,0.0691271057837368
6519,231.2744140625,168.9404296875,14.94970703125,9.01904296875,1.7228759765624998e-05,645996.4477539062,7415.579589175172,0.00457257864833492
6520,231.2744140625,168.9404296875,8.25732421875,8.24384765625,1.7228759765624998e-05,645996.4477539062,7591.381259504367,0.0025306062788613415
6521,231.2744140625,168.9404296875,8.25732421875,9.01904296875,4.1057958984375e-05,645996.4477539062,4378.404050151698,0.0025306062788613415
