,p_steam,Theta,CAH,N_s,alpha,bond
57,3293.603515625,52.978515625,58.2763671875,524414.5380859375,587141.727306445,2.8780332115834413
58,3293.603515625,52.978515625,82.9599609375,801758.0107421875,579535.4754228069,3.915014192710211
59,3293.603515625,52.978515625,82.9599609375,524414.5380859375,557816.1852828902,3.915014192710211
60,2993.896484375,42.685546875,36.0263671875,51758.7607421875,372668.56579305354,2.828561700665807
61,4531.103515625,42.685546875,36.0263671875,51758.7607421875,417884.6752162215,2.8285617006658073
62,2993.896484375,10.478515625,36.0263671875,51758.7607421875,58676.73954701517,50.70154038234096
63,2993.896484375,42.685546875,16.2099609375,51758.7607421875,424684.5687263497,1.2896023693381118
64,2993.896484375,42.685546875,36.0263671875,774414.2880859375,493841.08433496475,2.828561700665807
65,2993.896484375,10.478515625,16.2099609375,774414.2880859375,73476.35415819136,21.467974296816354
66,4531.103515625,42.685546875,16.2099609375,774414.2880859375,657625.6572839435,1.2896023693381122
67,4531.103515625,10.478515625,36.0263671875,774414.2880859375,76961.37107905342,50.70154038234099
68,4531.103515625,10.478515625,16.2099609375,51758.7607421875,80954.61925898519,21.46797429681636
69,4531.103515625,10.478515625,16.2099609375,774414.2880859375,88782.03283144491,21.46797429681636
70,518.896484375,127.685546875,80.5263671875,551758.2607421875,465064.3455995119,0.4288105687971853
71,2056.103515625,127.685546875,80.5263671875,551758.2607421875,640148.5443591573,0.4288105687971853
72,518.896484375,95.478515625,80.5263671875,551758.2607421875,464344.3149670136,1.0702821813720589
73,518.896484375,127.685546875,60.7099609375,551758.2607421875,484503.0567780406,0.3352964421366436
74,518.896484375,127.685546875,80.5263671875,274414.7880859375,414045.195742954,0.4288105687971853
75,518.896484375,95.478515625,60.7099609375,274414.7880859375,447964.3151711011,0.8368772451269226
76,2056.103515625,127.685546875,60.7099609375,274414.7880859375,566056.4662828773,0.33529644213664367
77,2056.103515625,95.478515625,80.5263671875,274414.7880859375,642139.8695627545,1.0702821813720589
78,2056.103515625,95.478515625,60.7099609375,551758.2607421875,754780.8051535343,0.8368772451269229
79,2056.103515625,95.478515625,60.7099609375,274414.7880859375,668985.9630617986,0.8368772451269229
80,364.208984375,37.373046875,5.4326171875,458008.3544921875,217550.63598546467,0.5662307251568827
81,3138.916015625,37.373046875,5.4326171875,458008.3544921875,561939.9179363254,0.5662307251568826
82,364.208984375,47.666015625,5.4326171875,458008.3544921875,303546.3442414591,0.3469905979580532
83,364.208984375,37.373046875,85.7412109375,458008.3544921875,139657.56234391243,8.174114718509307
84,364.208984375,37.373046875,5.4326171875,805664.2568359375,221637.9357569398,0.5662307251568827
85,364.208984375,47.666015625,85.7412109375,805664.2568359375,199519.73803437653,4.981419331850623
